,course,num_students,avg_gpa,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
818,CPSC 499: Cannabis Flower Production,52,2.81,1.9,38.5,0.0,3.8,30.8,1.9,0.0,3.8,0.0,0.0,1.9,0.0,17.3
819,CPSC 499: Plant Nutrition,59,3.27,5.1,50.8,11.9,6.8,5.1,1.7,3.4,1.7,1.7,0.0,3.4,0.0,8.5
820,CPSC 540: Applied Statistical Methods II,55,3.9,30.9,49.1,9.1,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821,CPSC 541: Regression Analysis,21,3.8,38.1,9.5,47.6,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822,CS 100: Computer Science Orientation,740,3.9,0.0,92.3,2.0,1.1,1.9,0.1,0.3,0.5,0.5,0.4,0.0,0.1,0.7
823,CS 100: Freshman Orientation,502,3.9,0.0,93.4,2.6,1.0,0.2,0.6,0.0,0.2,0.0,0.0,0.4,0.0,1.6
824,CS 101: Intro Computing: Engrg & Sci,5284,3.6,19.7,44.6,12.8,7.0,4.5,3.1,1.7,1.4,1.0,0.9,0.5,0.3,2.3
825,CS 105: Intro Computing: Non-Tech,4823,3.1,8.0,28.6,11.9,10.5,11.2,5.9,5.3,5.8,3.5,2.1,2.0,0.9,4.0
826,CS 124: Introduction to Computer Science I,1234,3.67,10.4,67.5,5.8,3.6,3.4,1.5,1.4,1.3,0.6,0.0,1.5,0.0,3.0
827,CS 125: Intro to Computer Science,502,3.44,9.2,54.4,8.4,4.2,5.4,3.2,3.0,3.4,1.8,0.0,3.6,0.0,3.6
828,CS 126: Software Design Studio,531,3.6,11.5,54.4,14.1,6.2,3.6,0.8,2.3,0.9,0.4,0.8,1.3,0.8,3.0
829,CS 128: Introduction to Computer Science II,1522,3.56,0.0,72.1,5.8,4.6,4.3,2.4,2.1,1.7,1.2,0.0,1.7,0.0,4.1
830,CS 173: Discrete Structures,4535,3.14,7.5,24.1,15.9,12.7,11.9,7.1,4.8,4.7,2.8,3.5,1.5,1.0,2.4
831,CS 196: CS 124 Freshman Honors,298,3.94,85.6,10.7,0.3,0.7,0.7,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.7
832,CS 196: Freshman Honors,56,3.88,58.9,30.4,5.4,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8
833,CS 199: CA Training,44,3.91,95.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0
834,CS 199: Even More Practice 128,37,3.89,0.0,97.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
835,CS 225: Data Structures,6870,3.44,1.8,62.0,7.3,5.7,5.4,3.0,2.7,2.7,1.7,1.4,1.2,0.7,4.3
836,CS 233: Computer Architecture,1097,3.62,31.9,42.3,4.9,2.7,7.9,1.3,0.8,2.6,0.9,0.1,2.6,0.0,1.9
837,CS 233: Computer Architecture Honors,25,3.8,8.0,80.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
838,CS 240: Introduction to Computer Systems,182,3.32,9.9,38.5,8.8,12.6,9.9,3.3,2.7,3.8,4.9,1.6,0.5,0.5,2.7
839,CS 241: System Programming,924,3.39,26.0,35.7,7.5,5.8,5.2,1.6,4.8,2.5,2.7,1.2,2.3,2.1,2.7
840,CS 242: Programming Studio,196,3.41,29.6,24.0,9.7,8.7,9.2,7.1,2.0,2.0,0.5,2.6,2.0,0.5,2.0
841,CS 277: Algorithms and Data Structures for Data Science,250,3.55,28.0,26.4,13.6,9.6,11.2,3.2,2.4,3.2,0.8,0.0,0.0,0.8,0.8
842,CS 296: Honors Course,66,3.78,34.8,48.5,7.6,1.5,0.0,1.5,0.0,1.5,0.0,1.5,1.5,1.5,0.0
843,CS 340: Introduction to Computer Systems,400,3.4,8.2,46.2,12.5,7.7,8.8,4.0,2.7,1.7,1.5,0.0,1.2,0.0,5.2
844,CS 374: Introduction to Algorithms & Models of Computation,4223,2.96,6.8,17.0,13.7,12.8,10.6,10.2,8.4,7.9,4.1,3.6,1.7,1.2,2.1
845,CS 402: Accelerated Fundamentals of Computing II,25,3.71,28.0,44.0,4.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
846,CS 403: Accelerated Fundamentals of Algorithms II,27,3.53,22.2,25.9,14.8,7.4,11.1,14.8,3.7,0.0,0.0,0.0,0.0,0.0,0.0
847,CS 409: The Art of Web Programming,656,3.56,13.3,39.8,18.0,9.8,7.5,4.4,2.4,0.9,1.5,0.6,0.3,0.3,1.2
848,CS 410: Text Information Systems,1277,3.87,51.2,30.1,11.2,3.2,2.0,0.9,0.0,0.8,0.0,0.0,0.2,0.0,0.5
849,CS 411: Database Systems,888,3.79,35.1,45.9,5.5,4.4,2.9,2.6,0.9,0.5,0.7,0.0,0.1,0.2,1.1
850,CS 412: Introduction to Data Mining,1577,3.55,16.5,35.6,19.3,11.7,7.4,2.6,1.0,1.5,0.5,0.0,1.0,0.0,2.9
