,course,num_students,avg_gpa,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
1958,HIST 171: US History to 1877,1192,3.33,9.4,35.2,17.3,10.1,9.6,4.7,2.0,2.9,2.0,1.2,0.3,0.5,4.9
1959,HIST 172: US History Since 1877,560,3.31,7.1,35.0,25.0,6.1,10.4,3.2,0.4,2.5,1.4,1.1,1.1,0.7,6.1
1960,HIST 199: HIST at IL and You,216,3.66,33.8,40.3,8.3,2.8,3.7,2.8,2.3,1.4,1.9,0.0,0.0,0.0,2.8
1961,HIST 200: Intro Hist Interpretation,21,3.49,0.0,42.9,19.0,28.6,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,4.8
1962,HIST 202: American Environmental History,39,2.62,7.7,20.5,10.3,12.8,5.1,2.6,7.7,5.1,2.6,2.6,10.3,0.0,12.8
1963,HIST 203: Reacting to the Past,78,3.58,11.5,60.3,9.0,2.6,6.4,2.6,0.0,0.0,1.3,0.0,1.3,0.0,5.1
1964,HIST 205: Lived Experience in Latin America,187,3.66,10.7,28.9,35.3,12.8,9.1,2.7,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1965,HIST 207: Digital Documentary Publishing,49,3.62,2.0,38.8,32.7,14.3,4.1,2.0,4.1,2.0,0.0,0.0,0.0,0.0,0.0
1966,HIST 211: History of Southern Africa,81,3.38,18.5,27.2,19.8,2.5,12.3,3.7,3.7,7.4,0.0,2.5,1.2,0.0,1.2
1967,HIST 212: History of Eastern Africa,26,3.76,3.8,53.8,23.1,7.7,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,HIST 213: African Muslim Societies,88,3.5,22.7,25.0,15.9,18.2,2.3,6.8,4.5,0.0,0.0,0.0,4.5,0.0,0.0
1969,HIST 220: Traditional China,123,2.79,4.1,14.6,8.9,17.9,15.4,7.3,8.9,6.5,3.3,0.0,6.5,0.8,5.7
1970,HIST 221: Modern China,98,3.64,16.3,41.8,16.3,9.2,7.1,3.1,3.1,1.0,1.0,0.0,0.0,1.0,0.0
1971,HIST 236: Madness and Modern Society,1096,3.55,3.5,30.1,40.7,11.3,5.5,4.0,1.8,0.9,0.2,0.2,0.0,0.2,1.6
1972,HIST 240: Ancient Greek Civilization,28,3.8,14.3,60.7,0.0,14.3,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,HIST 241: History of Ancient Rome,110,3.88,0.0,85.5,0.0,9.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,"HIST 245: Wives, Workers and Witches in Pre-Modern Europe",55,3.57,0.0,38.2,34.5,9.1,10.9,1.8,1.8,1.8,0.0,0.0,1.8,0.0,0.0
1975,HIST 247: Medieval Europe,32,3.67,12.5,65.6,6.2,6.2,0.0,3.1,0.0,0.0,0.0,0.0,0.0,3.1,3.1
1976,HIST 251: Warfare Milit Insts & Soc,92,2.86,4.3,7.6,7.6,10.9,21.7,19.6,10.9,14.1,1.1,0.0,1.1,0.0,1.1
1977,HIST 252: The Holocaust,59,3.12,1.7,22.0,16.9,15.3,13.6,11.9,6.8,5.1,3.4,0.0,0.0,0.0,3.4
1978,HIST 253: Enlightenment to Existentialsm,27,3.05,0.0,37.0,25.9,3.7,3.7,11.1,3.7,0.0,0.0,0.0,0.0,0.0,14.8
1979,HIST 255: British Isles to 1688,33,3.79,69.7,9.1,12.1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1980,HIST 258: 20thC World to Midcentury,165,3.47,4.2,25.5,23.0,23.6,13.3,7.9,0.6,0.6,0.6,0.0,0.0,0.6,0.0
1981,HIST 259: 20thC World from Midcentury,55,3.41,0.0,49.1,10.9,7.3,16.4,3.6,5.5,1.8,1.8,1.8,0.0,0.0,1.8
1982,HIST 260: History of Russia,55,3.51,9.1,36.4,20.0,7.3,12.7,5.5,3.6,3.6,1.8,0.0,0.0,0.0,0.0
