,course,num_students,avg_gpa,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
236,PHYS 470: Subatomic Physics,49,3.03,8.2,18.4,6.1,16.3,18.4,10.2,8.2,4.1,2.0,2.0,2.0,4.1,0.0
237,MATH 413: Intro to Combinatorics,328,3.03,29.6,13.1,9.5,7.0,7.6,4.6,6.1,5.8,1.8,3.7,4.3,1.8,5.2
238,ME 320: Heat Transfer,629,3.01,7.3,15.4,13.4,13.2,14.3,10.3,9.4,7.6,3.0,1.7,2.1,0.8,1.4
239,MATH 482: Linear Programming,196,3.01,15.8,19.9,8.7,9.7,14.3,4.6,5.6,7.7,3.6,0.5,3.6,1.0,5.1
240,CHBE 431: Process Design,357,3.0,7.8,12.6,9.0,18.2,18.5,8.4,5.3,10.9,6.7,0.3,0.6,0.6,1.1
241,ASTR 404: Stellar Astrophysics,86,2.99,0.0,34.9,9.3,9.3,16.3,8.1,1.2,4.7,3.5,0.0,5.8,0.0,7.0
242,IB 150: Organismal & Evolutionary Biol,171,2.99,2.9,22.2,8.8,12.3,19.3,6.4,6.4,12.3,3.5,2.9,1.2,0.0,1.8
243,MCB 354: Biochem & Phys Basis of Life,1176,2.99,12.0,13.4,12.6,12.3,11.5,9.9,8.1,7.1,5.6,3.7,2.0,1.4,0.6
244,BIOE 202: Cell & Tissue Engineering Lab,389,2.98,5.4,9.3,12.6,16.7,19.3,12.1,12.1,4.1,4.4,1.8,0.3,1.0,1.0
245,TAM 251: Introductory Solid Mechanics,1818,2.97,10.9,16.5,11.9,11.6,11.7,9.3,6.2,7.9,4.5,2.9,2.3,1.7,2.8
246,ME 471: Finite Element Analysis,388,2.97,8.0,15.7,12.6,16.5,11.6,10.3,5.4,6.4,4.6,1.5,2.3,1.5,3.4
247,TAM 212: Introductory Dynamics,1698,2.97,7.4,15.5,11.9,12.8,14.6,10.5,7.5,8.7,3.7,2.5,1.9,1.0,1.9
248,ECE 411: Computer Organization & Design,570,2.96,4.0,13.7,17.4,13.5,13.3,10.2,7.9,8.1,4.7,2.8,2.6,1.1,0.7
249,ATMS 201: General Physical Meteorology,94,2.95,19.1,6.4,7.4,14.9,14.9,12.8,2.1,8.5,5.3,2.1,3.2,0.0,3.2
250,TAM 445: Continuum Mechanics,103,2.94,12.6,12.6,6.8,13.6,7.8,8.7,17.5,11.7,5.8,1.0,1.0,0.0,1.0
251,MATH 453: Elementary Theory of Numbers,47,2.93,14.9,25.5,6.4,6.4,6.4,2.1,8.5,8.5,8.5,2.1,6.4,2.1,2.1
252,ECE 310: Digital Signal Processing,1122,2.93,8.6,16.2,9.9,10.2,16.2,9.6,6.4,8.8,5.9,3.3,1.8,0.4,2.5
253,AE 435: Electric Propulsion,75,2.91,0.0,12.0,17.3,16.0,18.7,10.7,9.3,5.3,1.3,0.0,6.7,0.0,2.7
254,AE 352: Aerospace Dynamical Systems,238,2.9,10.9,13.4,10.5,10.1,14.3,8.4,8.4,9.2,4.2,2.5,4.6,2.5,0.8
255,ECE 408: Applied Parallel Programming,760,2.9,2.6,14.2,12.1,14.2,18.3,8.9,7.4,11.7,3.7,1.6,1.6,2.2,1.4
256,CHBE 421: Momentum and Heat Transfer,177,2.89,5.6,18.1,7.9,7.9,16.4,11.9,6.2,16.4,6.2,0.0,0.6,0.0,2.8
257,MATH 417: Intro to Abstract Algebra,335,2.89,8.1,10.1,14.3,14.9,14.9,7.2,8.1,7.5,5.1,2.7,3.0,1.5,2.7
258,NPRE 421: Plasma and Fusion Science,62,2.89,8.1,12.9,8.1,14.5,12.9,14.5,4.8,11.3,6.5,1.6,1.6,1.6,1.6
259,CS 461: Computer Security I,1153,2.88,5.6,12.1,14.7,10.7,15.7,14.7,6.6,4.9,5.9,2.3,1.9,1.9,3.0
260,CHBE 422: Mass Transfer Operations,447,2.87,2.7,15.7,8.7,7.8,24.4,9.2,8.1,13.9,4.7,0.2,2.7,0.2,1.8
261,ASTR 406: Galaxies and the Universe,85,2.87,15.3,14.1,15.3,9.4,12.9,4.7,1.2,7.1,3.5,2.4,1.2,4.7,8.2
262,TAM 412: Intermediate Dynamics,162,2.81,5.6,18.5,6.2,12.3,16.0,9.9,3.1,9.3,6.8,1.2,6.8,1.2,3.1
263,MCB 400: Cancer Cell Biology,102,2.81,17.6,10.8,9.8,6.9,12.7,7.8,5.9,6.9,5.9,8.8,0.0,1.0,5.9
264,NPRE 455: Neutron Diffusion & Transport,108,2.81,4.6,25.0,6.5,10.2,16.7,5.6,6.5,4.6,6.5,0.0,2.8,2.8,8.3
265,CHBE 221: Principles of CHE,454,2.81,2.6,13.9,13.0,11.2,13.0,9.7,12.1,10.6,5.9,2.9,1.1,0.4,3.5
266,MCB 426: Bacterial Pathogenesis,75,2.8,0.0,20.0,17.3,10.7,10.7,6.7,9.3,1.3,4.0,9.3,5.3,2.7,2.7
267,ECE 476: Power System Analysis,31,2.8,9.7,19.4,9.7,6.5,6.5,6.5,6.5,12.9,3.2,12.9,6.5,0.0,0.0
268,MSE 280: Engineering Materials,172,2.79,0.6,6.4,8.7,18.6,20.3,14.0,12.8,7.6,5.8,1.2,1.2,1.7,1.2
269,CHBE 424: Chemical Reaction Engineering,648,2.78,3.7,22.1,3.7,2.8,26.7,3.7,3.5,22.4,1.2,0.3,6.5,0.8,2.6
